,SRR24302632,SRR24302634,SRR24302635,SRR24302636,SRR24302637,SRR24302638,SRR24302640,SRR24302643
CASP6,202,126,173,140,223,212,225,141
PLA2G12A,1795,1548,2230,2021,2357,1998,2025,1781
CFI,400,107,388,312,1343,795,715,357
LOC124900757,0,0,0,0,0,1,0,0
GAR1-DT,9,9,2,5,0,2,4,5
GAR1,204,182,217,254,236,151,185,199
RRH,5,0,0,6,0,0,1,2
LRIT3,5,0,0,4,5,8,4,6
EGF,323,329,411,347,348,666,353,396
ELOVL6,129,99,183,174,228,101,209,203
LOC124900759,334,203,202,271,203,192,202,195
LOC105377362,0,0,2,4,10,4,4,0
LOC124900892,0,0,0,0,0,0,0,0
ENPEP,723,246,373,349,638,419,386,356
PANCR,1,0,0,0,0,0,0,0
LOC105377363,1,1,0,0,1,0,0,0
PITX2,1,1,17,3,16,3,24,25
LOC124900857,0,1,1,2,0,0,0,0
MIR297,0,0,0,0,0,0,0,0
LOC105377364,0,0,0,0,0,0,0,0
LOC105377366,0,0,0,0,0,0,0,1
LOC105377367,0,0,0,0,3,0,1,1
LINC02945,6,3,3,1,0,1,0,1
LOC105377369,0,0,0,0,1,0,0,0
LOC105377370,0,3,5,0,0,0,0,3
FAM241A,1871,1585,2672,1575,1661,1332,1420,1798
AP1AR-DT,59,94,47,42,29,26,50,28
AP1AR,556,551,582,556,488,407,578,429
TIFA,362,380,385,459,422,468,338,350
ALPK1,120,73,150,78,314,222,265,143
NEUROG2,0,0,1,3,0,1,4,2
NEUROG2-AS1,1,0,0,0,0,0,1,0
LOC124900760,0,1,1,0,2,1,0,0
ZGRF1,56,58,69,81,122,101,91,68
H3P14,177,158,175,195,145,154,164,138
LARP7,3912,3951,3944,4497,2693,2660,3026,3080
MIR302CHG,3,4,2,3,0,0,0,1
MIR367,0,4,0,0,3,1,0,2
MIR302D,1,1,0,1,3,0,2,2
MIR302A,0,0,0,0,2,0,0,0
MIR302C,1,2,0,1,0,0,0,0
MIR302B,0,0,0,0,0,0,0,0
LOC102723896,2,0,0,0,2,2,2,0
LOC124900761,1,4,4,7,8,12,3,14
ANK2-AS1,0,0,0,1,0,0,0,3
MIR1243,0,0,0,0,0,0,0,0
MIR8082,0,0,0,2,0,0,1,0
LOC105377374,1,1,4,2,3,0,1,3
CAMK2D,12204,10428,14518,13708,11721,9501,11535,10168
LOC105377375,0,0,0,0,0,0,0,0
ARSJ,82,50,661,152,193,35,308,379
LOC107986305,2,1,19,8,2,0,3,17
LOC124900762,0,0,0,0,0,0,0,0
LOC105377376,0,0,0,0,0,0,0,0
LOC107986235,0,0,0,0,0,0,1,0
LOC105377378,977,1019,908,749,342,80,469,616
LOC105377379,1,0,0,0,1,1,1,0
LOC105377380,0,0,3,0,0,1,0,2
UGT8,2,3,5,4,6,0,4,6
MIR577,1,0,0,0,0,0,0,0
LOC124900763,0,0,0,0,0,0,0,0
LOC105377382,3,5,4,1,2,4,1,1
NDST4,23,3,1,7,9,3,4,0
LOC124900764,2,0,2,1,1,2,1,0
LOC124900835,0,0,0,0,0,0,0,0
LOC105377383,0,0,0,1,0,1,0,0
MIR1973,4,3,2,4,3,3,1,2
LOC105377384,435,151,426,147,72,23,134,273
LOC105377385,0,0,0,0,0,0,0,0
LOC107986306,1,1,2,0,1,0,0,1
LOC105377387,1,0,0,0,0,0,0,0
LOC105377388,4,1,2,0,2,10,4,0
TRAM1L1,93,62,155,85,136,67,169,74
LINC02262,0,0,0,0,0,0,0,0
LINC02263,0,1,0,0,0,1,0,0
LINC01378,0,0,1,0,0,0,0,0
LOC102723914,1,0,2,1,1,0,1,0
LINC02264,0,0,0,0,0,0,0,0
NDST3,13,8,14,14,18,19,18,20
LOC107986307,1,2,1,1,1,0,2,1
LOC105377392,0,0,0,0,1,0,0,0
LOC124900765,0,0,0,0,0,0,0,2
SNHG8,416,732,782,360,349,450,562,740
SNORA24,3,10,5,2,4,3,2,4
PRSS12,14,0,3,2,4,5,10,3
LOC124900766,0,1,2,0,1,3,0,2
LOC105379403,0,0,0,3,1,0,1,0
LOC124900767,0,0,0,0,0,0,0,0
CEP170P1,110,49,100,67,121,44,116,65
LOC729218,269,105,255,258,183,183,229,235
LOC124900768,1,0,1,2,0,1,1,1
METTL14-DT,0,0,0,2,1,1,0,0
METTL14,739,578,949,763,727,647,887,776
SEC24D,631,340,856,570,1444,686,1038,612
SYNPO2,19934,14211,29178,19534,25595,20817,27900,23515
LOC105377393,0,1,1,1,0,0,0,2
LOC105377394,47,138,75,113,6,10,84,52
LOC102723967,5,2,1,1,0,5,0,8
LOC105377395,246,114,195,253,90,217,216,242
MYOZ2,67182,54659,56396,66239,32790,39194,45238,51678
LOC105379404,7,8,10,27,25,29,18,45
LOC101929762,2,2,11,6,4,1,10,8
USP53,3298,2533,4396,4450,3897,3605,4396,2813
C4orf3,5814,4341,4860,5021,4444,4990,5132,4169
FABP2,3,11,9,21,2,8,0,11
LOC107986193,62,13,42,30,47,49,46,39
LINC01061,134,134,103,141,124,95,147,156
GTF2IP12,7,15,13,33,14,14,22,30
SEPTIN7P14,21,24,63,43,36,62,64,59
PDE5A,1591,790,2259,1263,2044,603,3905,1788
LOC124900187,0,0,0,0,0,0,2,0
LOC107986192,45,6,51,30,14,24,68,16
LOC105377397,4,3,2,1,0,0,0,0
LINC01365,0,0,0,0,0,1,0,0
LINC02502,1411,1638,1345,1372,357,714,903,1279
LOC124900769,3,9,8,5,1,6,3,5
LOC124900770,0,0,0,1,0,0,0,1
MAD2L1,69,82,110,118,64,57,73,48
MAD2L1-DT,16,21,15,13,16,4,6,17
LOC124900771,7,14,4,7,9,6,8,9
PRDM5,430,247,387,293,252,248,400,283
LOC105377399,27,6,36,15,10,15,34,21
NDNF,656,277,523,409,527,276,479,439
NDNF-AS1,1,0,1,2,0,3,0,0
TNIP3,1,2,4,1,3,3,2,2
QRFPR,49,49,74,6,55,20,34,59
LOC107986309,29,1,21,4,4,22,4,4
LOC107986310,8,4,1,4,4,2,7,5
LOC105377401,11,4,18,2,7,6,2,11
LOC105377402,1,0,0,0,0,0,1,3
ANXA5,4586,3131,5772,4415,6064,3408,5477,4485
SMIM43,8,6,10,0,11,4,2,10
PP12613,4,2,2,0,0,0,0,0
EXOSC9,516,405,521,528,443,395,440,441
CCNA2,19,14,20,27,39,14,23,26
BBS7,193,155,208,180,231,223,296,263
BBS7-DT,0,0,0,0,0,0,3,4
TRPC3,25,7,7,11,6,11,20,13
LOC102724158,3,0,0,0,0,0,0,0
LOC112268469,352,192,346,256,334,231,323,255
ADAD1,2,0,1,0,1,1,1,1
IL2,0,0,1,0,0,0,1,0
IL21,1,0,0,0,0,0,0,3
IL21-AS1,1,0,4,2,0,3,0,3
BBS12,343,318,332,303,847,573,252,460
CETN4P,36,51,43,47,17,10,32,29
FGF2,848,757,876,706,684,371,800,795
LOC124900773,25,33,11,10,4,5,6,18
NUDT6,163,60,150,85,119,133,88,93
AFG2A,288,185,249,216,372,254,279,251
LOC105377404,0,2,0,2,0,0,0,0
LOC124900772,2,0,0,0,0,0,0,1
LOC124900774,0,0,0,0,0,0,4,1
SPRY1,1274,609,1588,1246,2375,1176,2300,1780
TRC-GCA2-1,0,0,0,0,0,0,0,0
LINC02435,0,0,1,0,0,0,0,0
LOC105377405,1,0,5,5,0,4,5,0
LINC01091,53,43,83,75,30,13,89,80
LOC124900775,2,0,0,0,0,0,1,0
LOC124900776,32,12,0,6,8,45,6,11
LOC105377407,0,1,0,0,0,0,0,1
LOC105377406,4,2,5,5,4,12,16,12
LOC105377408,0,1,0,0,1,0,0,0
LINC02516,2,1,1,4,0,2,1,0
ANKRD50,1252,1057,1468,1086,1363,752,1546,1281
FAT4,1730,732,2562,1151,2696,1253,3799,1964
MIR2054,0,0,0,0,0,0,0,0
LINC02379,0,0,1,0,0,0,1,0
LOC105377409,1,0,17,0,12,20,12,6
LOC105377410,3,0,5,0,0,0,6,22
LOC124900777,1,0,0,0,0,0,1,0
LOC105377411,0,0,3,0,0,0,0,1
LOC102724210,3,0,7,2,2,4,5,6
LOC107986312,0,0,1,0,0,0,2,2
LOC105377412,0,0,0,0,0,0,0,0
INTU,272,290,226,309,266,223,384,306
SLC25A31,0,0,5,1,0,1,4,4
LOC105377414,1,0,0,0,0,0,0,0
HSPA4L,1627,1060,1525,1182,1501,584,1072,1350
LOC112268470,0,0,0,0,0,0,0,0
PLK4,53,22,50,74,43,38,64,18
MFSD8,462,402,407,407,410,229,429,472
ABHD18,4104,2640,2854,1872,2530,1662,1283,1888
LARP1B,870,823,1035,1096,780,768,925,829
PGRMC2,3529,3181,3627,3232,3556,2429,3492,2558
LINC02615,44,49,21,24,37,31,11,61
LOC101927259,10,24,24,9,16,5,15,6
LOC124900778,5,0,0,0,14,7,2,10
LOC124900905,0,0,0,0,0,0,0,0
JADE1,1266,836,1358,986,1561,1605,1548,1075
SCLT1,189,177,272,261,267,175,229,193
C4orf33,226,131,197,163,240,111,179,139
LOC105377416,0,0,0,0,0,0,0,0
LOC105377417,0,0,0,1,1,0,0,0
LOC124900779,0,0,0,0,0,0,0,0
LINC02466,0,0,0,1,0,0,0,0
LINC02465,0,0,1,1,2,1,0,0
LOC105377418,0,0,0,0,0,0,0,0
LINC02479,1,0,0,0,0,1,0,1
LOC105377422,1,0,0,0,0,0,0,0
LOC105377423,0,0,0,1,2,0,1,1
LINC02377,3,4,1,1,3,0,1,3
LOC124900860,1,0,0,0,1,1,0,0
LOC124900859,1,4,1,3,4,1,0,0
SNHG27,1,0,1,0,0,0,0,1
LOC105377425,0,0,0,1,0,0,1,0
LOC105377428,1,0,0,1,0,0,0,0
LINC01256,0,0,0,0,0,0,0,0
LOC124900861,0,0,0,0,0,0,1,0
LOC124900862,0,0,0,0,0,0,1,0
LOC105377431,0,0,0,0,0,0,0,0
PCDH10-DT,1,0,1,2,0,0,0,0
PCDH10,17,3,18,5,10,6,61,25
LOC124900863,0,0,0,1,0,0,2,0
PABPC4L,93,74,131,100,98,78,151,95
LINC02462,1,1,0,0,0,0,0,0
LOC105377436,0,0,0,0,0,0,0,0
LOC105377438,11,17,7,14,8,4,11,7
LOC105377437,0,0,0,0,0,0,0,0
LINC02485,0,0,0,0,0,0,0,0
LOC124900883,0,0,0,0,0,0,0,0
LINC00613,0,0,0,0,0,0,0,0
LOC124900864,0,0,0,0,0,0,1,0
LINC02511,0,0,3,0,8,4,1,3
LINC02510,0,0,0,0,2,0,0,4
LOC105377442,2,1,0,1,4,1,0,0
PCDH18,685,209,462,342,545,496,1122,503
LINC02172,4,1,2,0,4,4,0,4
LOC101927414,0,0,0,0,6,2,0,0
LOC107986314,0,0,0,0,1,0,0,1
LOC105377444,1,0,0,0,0,0,1,0
LOC105377445,2,2,0,1,1,0,1,0
LOC107986315,0,1,0,0,0,0,0,0
LOC105377447,0,0,0,0,0,1,0,0
LINC00616,0,0,0,1,1,0,0,0
SLC7A11-AS1,1,0,0,1,0,1,0,1
SLC7A11,31,2,13,7,29,0,14,16
LINC00499,1,0,0,0,0,0,0,0
LOC105377448,0,0,1,0,0,0,0,0
NOCT,97,52,117,121,100,186,48,98
LOC124900780,11,17,13,22,17,17,9,21
ELF2,1032,475,934,849,1024,819,1112,851
LOC105379412,0,0,3,0,0,0,0,1
MGARP,53,30,67,52,70,28,61,48
NDUFC1,4298,4125,4494,4564,3248,3795,3124,3395
NAA15,1931,1591,2365,2057,2635,1863,2307,1984
LOC124900188,0,1,0,2,1,0,1,2
RAB33B,692,698,783,613,600,637,674,649
RAB33B-AS1,2,0,3,1,3,5,4,1
SETD7,7194,4486,9551,6558,9071,6107,11561,6544
LOC105377451,0,0,0,0,0,0,2,5
LOC105377622,14,1,18,7,14,14,20,14
QKILA,0,0,0,0,0,0,0,0
MGST2,1821,1300,1742,1902,1294,1132,1441,1184
MAML3,394,106,428,219,458,270,580,355
LOC124900781,118,20,103,47,81,35,125,62
LOC124900782,2,0,2,4,3,6,3,4
LOC105377452,2,3,3,3,2,1,5,0
LOC124900783,5,14,7,8,10,5,4,24
LOC101927516,4,4,4,3,1,0,3,0
LOC124900784,0,0,2,1,0,2,1,3
SCOC,5661,5348,5225,6308,4181,3313,3692,4171
SCOC-AS1,67,94,52,55,27,26,20,66
LOC124900785,0,0,0,0,0,0,0,0
CLGN,5491,3775,3129,3605,4674,6443,2626,4650
MGAT4D,0,0,0,0,1,0,0,1
ELMOD2,1114,855,1001,1091,1088,794,969,930
UCP1,6,0,1,8,5,2,2,0
TBC1D9,1409,643,1268,1010,1618,986,1706,1199
TNRC18P1,42,23,58,25,75,47,103,50
LOC124900787,0,0,0,0,0,0,0,1
LOC124900786,0,0,0,2,0,0,0,0
RNF150,7628,4791,7601,5490,6789,6522,6413,7057
ZNF330,4377,3517,4876,5079,7660,4934,5403,4298
LOC124900902,0,0,0,0,0,0,0,0
LINC02432,24,8,40,8,40,17,32,63
LINC02276,1,0,0,0,0,1,0,2
IL15,105,40,106,97,99,79,125,65
INPP4B,5365,4310,6427,5039,3759,2912,6663,3577
LOC101927613,0,8,2,3,2,5,5,4
LOC105377457,0,0,0,0,0,0,0,0
USP38-DT,39,17,65,46,22,26,48,45
LOC124900788,3,0,1,0,0,0,0,0
USP38,1409,893,1578,1120,2013,1593,1292,1242
LOC124900789,14,0,9,5,18,10,18,4
GAB1,4673,3613,4289,4715,3045,2210,4709,4328
MIR3139,1,0,0,0,0,0,0,0
SMARCA5-AS1,33,6,18,21,28,48,58,34
SMARCA5,3629,2987,4378,3194,4209,3015,4517,3703
GUSBP5,20,10,33,33,20,35,56,41
FREM3,1,3,4,3,4,3,6,4
LOC105377458,0,0,0,0,0,0,2,0
LOC105377459,1,0,2,1,2,0,3,4
GYPE,10,14,12,6,10,6,25,10
LOC101927636,2,1,0,3,0,8,0,1
LOC124900790,0,0,1,0,0,0,0,0
GYPB,0,0,2,0,0,1,2,0
LOC105377460,1,0,2,1,0,4,2,2
GYPA,2,1,0,0,0,0,1,0
LOC105377462,0,0,0,0,0,0,1,0
HHIP-AS1,3,3,5,5,2,18,5,6
HHIP,4,10,4,21,3,7,7,20
LOC124900791,0,3,2,4,2,6,12,8
LOC124900792,0,0,0,2,0,0,0,2
LOC124900793,0,0,0,0,0,0,1,1
ANAPC10,381,388,352,493,260,153,306,375
ABCE1,1040,1164,1254,1368,1181,878,1008,881
OTUD4,1507,945,1263,1406,2234,1171,1519,1417
LOC124900794,1,0,0,2,0,0,0,7
LOC105377465,0,0,1,0,0,0,0,0
LINC02266,0,0,2,2,2,4,2,2
SMAD1,641,379,761,675,562,395,736,559
SMAD1-AS2,1,1,0,0,0,0,0,1
SMAD1-AS1,0,0,0,0,0,0,0,0
LOC285422,0,0,0,0,0,0,0,0
LINC02491,0,0,0,0,0,0,0,0
MMAA,386,294,455,379,484,358,477,371
C4orf51,2,0,0,2,1,1,2,6
ZNF827,1019,976,1483,1032,1166,676,1386,1322
LOC105377468,4,2,0,0,0,2,0,0
LOC105377469,0,0,0,0,0,0,0,0
LINC01095,0,0,0,0,0,0,2,1
LSM6,200,189,186,202,223,191,194,263
REELD1,4,10,6,5,0,4,9,7
SLC10A7,132,46,128,91,183,132,142,150
LOC105377472,4,0,0,1,0,0,1,0
MIR7849,0,0,0,0,0,0,0,0
POU4F2,1,0,1,1,2,4,3,2
TTC29,1,0,1,0,0,4,2,2
LOC105377474,0,0,0,0,0,0,0,0
LOC105377473,0,0,1,3,0,1,1,2
LOC105377475,2,0,0,0,1,0,1,4
LOC105377476,1,0,0,0,0,0,0,0
MIR548G,0,0,0,0,0,0,0,0
EDNRA,1611,1954,2907,1844,1249,456,2166,1555
LOC124900795,3,38,3,18,7,5,0,7
LOC124900796,0,0,0,0,0,1,0,0
LINC02507,0,0,1,0,0,1,0,0
TMEM184C-DT,0,2,2,4,0,0,1,4
TMEM184C,1075,624,1075,852,1219,924,1180,875
PRMT9,325,260,398,313,252,239,392,338
ARHGAP10,2711,1713,2797,1923,2237,1869,2491,2085
MIR4799,0,0,0,0,0,0,0,0
NR3C2,2115,988,1578,1164,1505,1507,1804,1493
LOC102724672,2,0,1,1,0,0,0,3
LOC124900798,3,1,4,5,1,4,3,4
LOC107986195,76,30,37,43,53,122,22,54
LOC105377483,1,5,0,0,0,0,0,0
LOC124900797,4,0,1,2,4,4,3,0
LOC105377481,0,0,1,2,0,1,1,5
LOC105377480,0,0,0,0,0,0,1,0
LINC02430,0,0,0,0,0,1,1,1
LINC02355,18,4,7,10,3,7,12,1
LOC107986320,0,1,0,0,0,0,0,1
IQCM,2,0,3,0,5,0,1,0
LOC105377479,0,0,0,0,0,0,0,1
DCLK2,1433,1353,1994,2012,1595,786,2382,1153
LRBA,2164,530,2476,1297,2356,2383,1954,1653
LOC729558,1,0,0,2,0,0,0,2
MAB21L2,4,4,1,4,0,3,15,2
RPS3A,3325,3389,2199,2465,1542,1897,1585,2094
SNORD73B,0,0,0,1,0,0,0,0
SNORD73A,0,0,0,0,0,0,0,0
SH3D19,4699,4518,6616,5853,5148,2982,7083,3825
LOC107986196,15,17,19,7,17,25,13,4
LOC105377485,11,8,15,8,14,19,23,25
LOC124900799,30,48,78,62,24,34,68,75
PRSS48,1,3,0,10,2,0,1,7
FHIP1A-DT,9,4,9,9,14,13,10,6
FHIP1A,1142,878,1122,926,1435,975,1154,714
GATB,2630,1881,2347,1985,2217,2244,1997,2032
LOC107986197,17,11,18,27,34,27,17,28
LOC127898557,0,0,0,0,0,0,0,0
LOC105377488,2,4,4,5,6,5,2,4
LOC102724700,0,1,2,0,2,2,0,2
LOC127898556,0,0,0,0,1,1,0,0
LINC03074,4,0,0,2,0,0,0,0
LINC02273,4,0,4,2,5,7,12,3
LOC124900800,0,0,1,0,0,0,1,0
LOC105377489,1,1,0,0,0,0,0,0
LOC105377490,1,0,0,0,0,1,1,0
LOC105377492,0,1,1,3,1,2,3,2
FBXW7,2384,2057,1893,2301,2412,1807,2494,2208
FBXW7-AS1,0,0,1,0,1,0,0,0
MIR3140,0,0,0,0,0,0,0,0
MIR4453HG,53,32,38,49,41,23,39,83
MIR4453,0,0,0,0,0,0,0,0
TMEM154,104,40,101,64,90,108,67,105
LOC105377495,0,0,0,0,0,1,1,2
TIGD4,15,8,32,17,24,4,22,22
ARFIP1,521,325,575,426,574,517,694,442
FHDC1,27,26,23,7,42,54,34,37
LOC729870,1,0,0,1,2,0,0,0
TRIM2,1796,1173,1569,1499,1423,1222,2431,1673
LOC105377496,0,0,0,3,0,0,0,0
ANXA2P1,335,85,335,243,541,293,434,229
MND1,4,9,5,36,16,9,10,11
TMEM131L,1025,554,1400,986,986,562,1486,1098
LOC105377498,0,0,0,0,0,0,0,0
LOC100419170,0,0,4,6,7,5,4,5
TLR2,49,21,91,62,565,723,125,91
RNF175,7,6,18,7,19,3,15,18
LOC105377499,0,0,0,0,0,0,0,0
SFRP2,1,0,52,25,34,8,43,4
LOC101927947,3,0,2,0,0,2,2,1
DCHS2,14,2,4,4,11,14,5,10
PLRG1,1313,943,1325,1202,1186,1124,1296,1054
FGB,0,5,0,0,3,1,3,4
FGA,2,0,1,0,3,3,2,0
FGG,2,1,1,0,0,0,0,3
LOC124900169,2,0,2,0,0,2,2,3
LRAT,1,8,0,6,7,3,5,3
LOC105377500,0,0,1,0,0,0,0,0
RBM46,6,1,5,3,1,4,3,2
LOC105377501,0,0,0,0,0,0,1,0
NPY2R,0,1,1,2,0,2,1,1
NPY2R-AS1,1,0,4,2,1,0,0,1
LOC105377502,0,0,0,0,0,0,0,0
MAP9,898,1440,1216,1224,934,782,907,922
MAP9-AS1,0,0,1,0,0,0,0,0
LOC105377503,7,6,9,2,7,26,2,14
LOC105377505,6,5,15,21,9,2,26,13
LOC105377504,2,0,3,5,3,0,3,0
GUCY1A1,5370,4083,5265,4674,8214,3719,5787,4319
LOC105377506,0,0,10,5,7,5,5,4
GUCY1B1,1524,844,1148,1304,2203,925,1115,1105
ASIC5,1,0,1,1,0,0,0,0
LOC105377507,1,1,0,1,3,3,0,2
TDO2,0,0,2,4,0,1,3,1
CTSO,644,201,608,357,550,538,773,444
LOC102724785,0,0,0,0,0,0,0,2
LOC105377508,0,0,1,0,0,0,1,0
LINC02272,1,0,1,1,0,0,0,1
PDGFC,1209,821,1190,793,870,669,980,905
GLRB,816,913,918,808,506,352,713,857
GRIA2,3,8,4,1,3,4,1,5
LOC107986238,1,0,0,0,0,0,0,0
LINC02433,1,0,1,0,0,0,0,4
LOC105377509,9,0,7,1,2,1,4,1
LOC124900801,0,0,1,0,0,0,2,0
GASK1B,10931,7150,12816,9902,9180,5877,12219,8676
GASK1B-AS1,338,211,293,164,343,230,306,205
LOC101928007,14,3,5,3,5,4,5,5
TMEM144,671,451,648,709,451,473,529,572
LOC105377510,0,0,0,1,0,0,0,0
LOC124900802,0,0,0,0,2,0,0,0
RXFP1,6,0,2,8,7,7,17,1
C4orf46,222,200,311,257,349,174,252,259
ETFDH,5364,3761,6689,5291,7650,7546,3579,4448
LOC124900922,0,0,1,0,4,3,0,3
PPID,1248,738,1395,1064,1310,788,1387,1098
FNIP2,3521,3067,3092,3129,3702,4278,3681,3901
SPMIP2,2,2,5,3,4,8,3,9
RAPGEF2,3736,1846,3143,2483,3238,2588,3672,3229
MIR3688-1,0,0,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0,0,0
LOC107986324,0,0,0,0,0,0,0,0
LOC105379457,0,0,0,0,0,0,0,0
LINC02233,1,0,6,0,0,0,3,6
LOC107986239,0,0,0,0,0,2,0,0
LINC02477,0,0,0,0,1,0,0,0
LOC105377513,1,0,0,0,0,0,0,0
LOC105377514,1,0,0,0,0,0,0,0
LOC105377515,2,0,0,0,0,0,0,0
FSTL5,0,0,1,1,0,0,2,5
LOC101928052,2,1,0,0,0,0,1,1
LOC124900803,1,0,0,0,0,0,0,0
LOC124900804,0,0,0,0,0,0,0,1
LOC105377516,0,0,0,1,0,0,0,4
MIR4454,0,0,0,0,0,0,0,0
NAF1,699,471,683,632,726,591,630,486
LOC101928081,2,0,5,5,2,3,0,0
LOC105377517,0,0,1,0,0,0,3,1
NPY1R,47,32,36,87,129,20,135,120
NPY5R,11,4,6,23,6,3,30,12
TKTL2,3,2,4,2,2,1,2,2
LOC124900805,1,3,4,4,4,2,1,5
TMA16,225,215,241,304,225,270,211,184
MARCHF1,65,31,84,79,396,248,153,115
LOC107986325,0,0,0,0,1,0,0,0
SMIM31,0,1,0,0,0,0,2,3
APELA,1,2,0,0,2,0,0,0
TRIM61,62,102,121,113,64,85,93,93
FAM218A,38,66,36,45,18,26,20,35
TRIM60,0,0,3,0,1,0,0,0
TRIM75,1,0,1,0,1,0,0,2
TMEM192,1336,1025,1333,1124,900,949,1332,910
KLHL2,389,439,628,498,742,520,711,399
GK3,72,27,61,64,75,70,48,50
LOC124900915,0,0,0,0,0,0,1,0
MSMO1,713,322,620,417,630,316,676,731
LOC105377519,0,0,2,0,0,0,0,0
CPE,2956,1533,2601,3095,2918,2307,3874,1930
MIR578,0,0,0,0,0,0,0,0
LOC105377520,0,0,0,0,0,0,0,0
LOC124900806,2,0,0,0,0,0,0,0
LINC01179,1,0,0,0,1,0,1,0
LOC101928131,2,0,2,0,0,0,3,0
LOC105377521,0,0,1,0,0,0,0,0
TLL1,28,18,37,61,158,55,36,77
SPOCK3,1,1,25,3,2,5,10,0
LOC105377523,0,0,0,0,0,0,0,0
ANXA10,2,4,0,0,1,2,0,2
LOC124900170,3,1,1,0,0,1,2,1
LOC105377524,3,0,5,5,2,1,2,7
DDX60,1068,519,956,633,894,807,1034,807
LOC124900910,0,0,0,0,0,0,0,0
DDX60L,577,337,646,418,751,492,645,476
LOC124900181,0,0,0,0,1,0,0,0
LOC107986198,3,1,13,6,2,5,10,15
PALLD,30922,22410,32763,29993,33911,31518,37180,31171
LOC124900807,17,39,13,35,10,13,19,132
PALLD-AS1,0,4,2,8,0,0,0,6
LOC124900808,0,1,0,2,0,1,4,5
LOC124900809,7,33,5,10,11,16,7,29
LOC102723331,24,74,29,86,63,65,41,153
CBR4,1862,1470,1712,1547,1717,1541,1587,1429
LOC107986200,0,0,0,0,0,0,0,3
CBR4-DT,0,0,0,0,0,0,0,0
LOC105377527,0,1,2,0,0,0,3,6
SH3RF1,624,413,845,523,1129,796,1062,644
LOC105377529,0,0,0,0,0,0,2,0
NEK1,947,834,1419,1056,957,871,1324,1092
CLCN3,4361,2451,3538,3499,5715,3741,4289,4266
HPF1,418,327,437,393,349,326,359,344
LOC107986240,0,0,0,0,0,0,0,0
LOC124900810,0,0,0,1,0,0,0,0
LOC105377530,1,0,1,0,0,0,0,0
LINC02275,0,0,0,0,3,0,8,0
MFAP3L,110,106,477,279,336,149,257,240
LOC101928198,1,0,1,0,0,0,2,0
AADAT,63,55,81,65,56,76,82,58
LOC107986326,0,0,0,2,1,0,0,0
LINC01612,0,0,0,0,0,1,0,1
LINC02512,0,0,3,0,0,0,0,0
LINC02382,0,0,0,0,0,0,0,0
LOC124900869,0,0,0,0,0,0,0,0
LINC02431,1,0,0,0,0,1,0,0
MIR6082,0,0,0,0,0,0,0,0
LOC105377534,0,1,0,0,0,0,0,0
LINC02504,0,0,1,0,1,1,0,2
LOC105377535,1,0,1,0,0,0,1,0
LINC02174,0,0,0,0,0,0,0,0
LOC441052,9,0,0,2,2,1,2,0
GALNTL6,8,0,2,6,6,0,0,1
LOC124900811,0,0,0,0,2,1,0,1
GALNTL6-AS1,1,0,1,0,1,2,0,0
LOC107986201,0,0,0,0,0,0,0,0
GALNT7-DT,8,10,17,9,29,6,13,9
GALNT7,293,285,589,428,606,235,691,462
LOC124900812,15,2,18,9,25,4,8,32
MIR548T,0,0,0,0,0,0,0,0
HMGB2,2023,2469,2012,3007,1151,935,1934,2168
SAP30-DT,138,133,109,86,81,59,143,68
SAP30,206,191,181,193,210,154,152,156
SCRG1,31,18,105,122,93,41,172,71
LOC112268474,14,12,18,17,24,4,25,17
LOC112267917,16,10,20,23,22,14,14,14
LOC101928409,607,419,569,433,397,363,491,628
LOC124900815,158,109,110,144,93,67,134,93
HAND2,3758,3273,3617,3949,3638,1929,4821,4029
HAND2-AS1,4653,2783,4765,4144,2623,2657,4499,2738
LOC124900816,61,65,80,78,48,64,108,94
LOC107986203,296,141,108,158,46,65,93,76
LINC02269,189,92,30,26,15,30,4,17
LOC105377543,84,39,27,19,11,4,24,31
LOC105377544,27,6,3,0,5,4,2,6
LOC105377546,4,5,0,1,0,2,1,2
LOC107986204,8,3,0,0,1,0,6,1
LINC02268,20,25,65,8,2,0,37,2
FBXO8,1002,945,1305,1214,1013,648,1184,998
CEP44,542,444,602,517,581,521,683,637
LOC105377547,2,0,1,3,0,0,1,1
MIR4276,0,0,0,0,0,0,0,0
HPGD,40,83,85,22,113,142,48,35
LOC105377548,5,4,10,4,3,11,0,3
LOC124900870,0,0,0,0,0,0,0,1
LOC105377549,0,0,0,0,0,0,0,0
LOC105377551,3,0,3,1,10,0,1,0
GLRA3,3,0,4,4,2,1,4,0
LOC101928551,0,1,0,2,0,1,0,1
ADAM29,1,2,2,0,0,1,0,1
LOC124900871,1,0,0,0,4,0,4,1
LOC105377552,0,0,0,0,0,0,0,0
LOC124900872,1,0,0,0,0,0,1,0
GPM6A,2,1,11,6,32,11,43,25
GPM6A-DT,0,0,0,0,0,1,0,2
LOC107984113,1,0,0,1,2,1,1,2
WDR17,17,17,26,18,48,40,56,31
SPATA4,16,27,29,36,8,4,28,15
ASB5,385,188,197,232,232,179,190,281
SPCS3-AS1,1,1,0,0,2,15,7,1
SPCS3,3592,2724,4101,3811,5850,3682,4023,3420
LOC124900817,26,2,15,17,21,6,19,11
HAFML,0,0,0,0,0,0,0,2
VEGFC,310,163,378,550,503,122,540,291
