,SRR24302632,SRR24302634,SRR24302635,SRR24302636,SRR24302637,SRR24302638,SRR24302640,SRR24302643
LOC105375465,0,0,0,0,0,0,0,1
ST7-AS1,33,42,64,58,21,89,38,35
ST7,608,433,570,539,683,587,621,556
ST7-OT4,5,0,5,4,6,10,6,15
MIR6132,0,0,0,0,0,0,0,0
ST7-AS2,1,4,1,5,2,2,2,6
LOC124901732,5,0,3,0,2,4,0,5
ST7-OT3,3,0,1,0,1,1,1,0
LOC105375466,0,0,0,0,0,0,0,0
WNT2,10,1,8,3,2,9,28,7
LOC124900596,0,0,0,1,0,0,0,0
LOC105375467,0,0,0,0,0,0,0,0
ASZ1,0,0,1,0,0,1,0,0
LOC105375468,0,0,0,0,0,0,0,0
CFTR,5,4,2,1,3,39,5,3
CFTR-AS1,0,0,0,0,0,0,0,0
CTTNBP2,66,40,106,43,85,102,106,119
LOC105375469,0,0,0,0,0,0,0,0
LOC105375470,0,0,2,1,9,0,1,0
LSM8,1273,1082,912,1154,791,673,967,838
ANKRD7,4,2,0,1,7,8,7,1
LOC102724495,0,0,0,0,0,0,0,0
LOC124901815,0,8,2,1,0,0,0,4
LOC105375471,1,1,0,0,0,0,0,0
LOC105375472,3,5,3,0,0,10,2,7
LOC107986747,0,0,0,0,0,0,0,0
LOC105375473,0,0,0,0,0,0,0,1
LOC124901816,0,0,0,0,0,0,2,0
LINC02476,0,1,0,2,1,2,0,0
LOC107986840,0,1,0,1,0,0,0,0
LOC105375477,1,0,0,0,0,0,0,0
KCND2,9,1,6,4,31,10,26,25
TSPAN12,4038,3611,3653,3533,2143,2210,3087,2632
LOC124901733,18,5,21,10,7,12,17,16
ING3,558,311,448,384,359,452,520,378
LOC124901734,0,0,0,1,1,4,2,0
CPED1,2190,1232,2580,1548,1847,1254,3543,2397
LOC124901735,39,71,38,84,22,53,47,105
WNT16,5,2,3,6,4,0,4,6
FAM3C,1747,1524,1527,1564,1683,1479,1569,1549
LOC124901737,0,0,0,0,0,0,0,0
LOC124901736,0,0,0,0,0,0,1,0
LOC105375478,0,0,0,0,0,1,0,0
PTPRZ1,82,23,41,33,90,73,132,38
AASS,1888,1447,1310,1327,1652,2567,1113,1577
LOC102724527,48,95,20,69,16,17,22,41
FEZF1,4,2,0,0,5,0,5,6
FEZF1-AS1,3,12,3,4,3,1,5,15
CADPS2,831,388,544,239,1002,911,636,349
LOC105375481,0,0,0,0,0,0,0,0
LOC124901739,0,0,2,1,5,2,2,5
RNF133,0,2,1,0,0,0,2,0
RNF148,0,0,0,0,0,2,1,0
LOC124901738,0,0,0,1,0,0,2,2
LOC105375482,0,0,0,0,0,0,0,0
TAS2R16,2,0,0,1,0,0,0,0
SLC13A1,0,2,1,2,1,0,3,2
IQUB,12,11,14,10,8,15,16,15
LOC124901740,3,12,3,4,2,1,8,5
NDUFA5,8328,10339,8707,8652,5422,6245,5102,6954
ASB15,3509,2272,2582,1813,2921,4362,1678,2138
ASB15-AS1,0,6,2,4,1,7,2,3
LMOD2,64987,62005,85642,73193,25448,37601,73811,79407
WASL,2007,1688,2427,2240,2189,1619,2382,2212
WASL-DT,250,248,277,248,156,174,231,199
HYAL4,5,1,8,18,5,8,1,12
HYAL6P,0,0,1,0,0,1,1,0
SPAM1,2,2,1,1,2,1,0,0
LOC105375483,0,0,0,0,0,0,2,0
TMEM229A,17,3,0,8,11,5,33,5
LOC124901741,0,0,0,0,0,0,0,0
LOC105375484,0,0,0,0,1,0,0,0
LOC107986841,0,0,0,0,0,0,0,0
LOC101928211,1,0,0,0,0,0,0,0
LOC102724577,0,0,0,0,0,0,0,0
SSU72L6,0,2,0,1,0,0,2,0
GPR37,2,0,0,3,2,1,3,4
LINC03043,0,0,0,2,0,0,0,0
POT1,664,526,664,779,473,653,580,508
POT1-AS1,26,31,34,29,32,37,15,30
LINC02830,3,3,0,0,1,0,3,2
LOC101928283,0,1,0,3,1,1,0,0
LOC101928254,0,0,0,0,0,0,0,0
LOC100506664,0,0,0,0,0,1,0,0
LOC105375487,0,0,0,0,0,0,0,0
LOC105375488,0,0,0,0,0,0,0,0
GRM8,135,33,82,104,45,128,67,27
LOC101928357,272,199,197,306,66,283,252,74
LOC107986843,0,0,0,0,0,0,0,1
MIR592,0,0,0,0,0,0,0,0
LOC124901742,1,0,1,0,0,0,2,0
GRM8-AS1,0,0,0,0,0,0,0,0
ZNF800,665,533,807,759,908,653,792,862
LINC03012,0,0,0,0,0,0,0,0
LOC105375490,7,12,8,19,3,6,11,10
GCC1,546,293,622,397,617,429,675,430
ARF5,1672,1375,1708,1728,1577,1415,1613,1439
LOC105375489,5,13,4,5,5,3,10,11
FSCN3,0,0,3,0,2,1,2,5
PAX4,1,0,0,0,0,0,0,0
SND1-DT,0,0,0,1,0,0,0,0
SND1,3761,2383,3944,2820,4526,3472,3591,2877
SND1-IT1,10,9,12,10,2,12,0,13
LRRC4,47,31,119,64,81,104,93,62
LOC124901743,0,6,0,2,3,0,0,0
MIR593,1,0,0,0,0,0,0,0
LOC105375493,0,0,0,0,0,0,1,0
LOC124901744,1,1,0,0,0,0,0,0
MIR129-1,0,0,0,0,0,0,0,1
LEP,1,3,5,3,2,0,6,20
RBM28,920,694,1022,996,1056,1113,1000,1161
PRRT4,53,50,30,56,58,71,62,67
LOC107986845,2,0,0,0,0,2,0,2
IMPDH1,218,94,269,185,454,498,295,165
EFCAB3P1,8,0,7,13,34,20,14,28
HILPDA,64,89,73,73,189,150,101,84
METTL2B,1186,879,1276,1077,1289,1190,1041,1031
LINC01000,510,261,569,618,712,621,744,924
GARIN1A,26,53,68,128,33,46,46,94
GARIN1B,5,2,0,1,3,0,1,0
CALU,18059,12177,23264,21195,25375,15027,26901,14252
OPN1SW,1,0,1,5,0,0,0,1
TRP-AGG2-3,0,0,0,0,0,0,0,0
CCDC136,543,488,569,841,250,164,830,375
FLNC,81376,57827,153420,96665,117086,64116,96043,96811
FLNC-AS1,20,26,32,56,13,6,21,75
ATP6V1F,1535,1167,1273,1421,989,1351,1192,1349
SPMIP1,19,57,211,206,70,15,62,106
KCP,4,6,14,9,66,34,11,11
LOC105375497,1,0,0,0,0,0,0,1
IRF5,42,7,47,26,133,76,88,50
TNPO3,1719,1162,1659,1242,1871,1145,1880,1533
TPI1P2,515,300,502,468,467,493,395,429
LOC124901836,0,0,1,0,0,0,0,0
LOC124901863,0,0,0,0,0,0,0,0
LOC407835,1851,1134,1892,1446,1797,2022,1617,1580
TSPAN33,286,206,282,244,329,202,478,219
SMO,337,242,317,257,371,250,423,358
AHCYL2,380,169,464,317,376,341,581,363
LOC124900234,3,5,10,2,9,1,5,4
LOC105375500,7,17,4,11,10,4,5,5
LOC107986847,1,0,2,1,1,0,10,3
STRIP2,1084,802,1170,1140,1655,1806,1110,827
SMKR1,1,4,0,2,5,0,3,0
NRF1,442,324,419,391,427,377,510,446
LOC105375501,1,0,0,1,1,0,0,0
MIR182,0,0,0,0,0,0,0,0
MIR96,0,0,0,0,0,0,0,0
MIR183,0,0,0,0,0,0,0,0
UBE2H,12082,6848,16204,12709,12714,6616,17351,11862
UBE2H-DT,0,0,1,0,0,0,0,0
ZC3HC1,552,508,564,516,532,491,454,533
KLHDC10,1963,1156,2025,1743,2660,1869,2203,1772
LINC03008,0,0,3,0,1,0,0,0
TMEM209,463,338,478,418,429,403,448,508
LOC124901745,7,6,1,7,9,6,2,3
SSMEM1,3,0,0,1,1,2,0,2
CPA2,2,0,1,1,0,0,0,1
CPA4,2,0,4,5,4,0,23,4
LOC105375503,3,4,1,0,2,2,2,2
LOC124901842,0,0,0,0,0,0,0,0
LOC124901837,0,0,0,0,0,0,0,0
CPA5,1,0,2,1,1,0,1,2
LOC105375504,0,0,0,0,0,0,0,0
CPA1,1,4,2,4,4,2,4,1
CEP41,184,105,156,139,222,106,221,208
LOC105375505,0,0,0,0,0,0,0,0
MESTIT1,1,1,3,0,9,2,12,6
